Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
J A Y    D U D H A N E,jaydudhaneofficial,8.65,528700,22500.0,179000.0,4.29,Mumbai,Arts and Entertainment,Mega
Nikki,nikitabhamidipati,9.2,527500,56500.0,149200.0,10.76,Mumbai,Arts and Entertainment,Mega
Shubhika,papadontpreachbyshubhika,7.68,524300,2000.0,8700.0,0.38,Mumbai,Lifestyle and Fashion,Mega
Mridul�,mridul.meena17,8.83,520700,31800.0,89900.0,6.13,Ajmer,Travel,Mega
Rajni Khaitan | TheClicChic,theclicchic,8.48,520500,14500.0,244400.0,2.78,Kolkata,Arts and Entertainment,Mega
Juhi Godambe,juhigodambe,8.42,518700,11100.0,49400.0,2.15,Mumbai,Lifestyle and Fashion,Mega
Fizah Khan,thefizahkhan,8.24,517600,8200.0,77200.0,1.59,India,Lifestyle and Fashion,Mega
Nilam Parmar,nilamparmarr,8.48,516799,14300.0,140900.0,2.77,Mumbai,Lifestyle and Fashion,Mega
Aayushi Malik,aayushimalikk,8.47,515000,13600.0,56300.0,2.66,New Delhi,Lifestyle and Fashion,Mega
Megha Bajaj,meghabajaj,8.41,512299,10800.0,84700.0,2.13,Mumbai,Lifestyle and Fashion,Mega
ManjeeT SingH ��,themrsingh,8.24,511500,8200.0,41000.0,1.62,Jaipur,Lifestyle and Fashion,Mega
Sonali Malhotra,sonali_malhotraa,8.08,511400,6400.0,20500.0,1.26,Mumbai,Lifestyle and Fashion,Mega
Mohit Khandelwal,mohit_khandelwal__,8.6,511100,20100.0,92600.0,3.93,Jaipur,Lifestyle and Fashion,Mega
Gaurav,gaurav.__.sharma,8.5,510100,15100.0,71800.0,2.98,Mumbai,Arts and Entertainment,Mega
Kajal Kothari,kajalkothariofficial,8.46,509400,13100.0,52700.0,2.58,Mumbai,Lifestyle and Fashion,Mega
Shifa Merchant,sassyshifsays,8.34,508200,9300.0,178900.0,1.85,Mumbai,Lifestyle and Fashion,Mega
Sakshi Sindwani,stylemeupwithsakshi,8.24,508000,8200.0,226400.0,1.62,New Delhi,Lifestyle and Fashion,Mega
Chitranshi,chitranshi_dhyani,8.01,507700,5500.0,19800.0,1.11,Mumbai,Lifestyle and Fashion,Mega
Vaishali,thefuschiamermaid,8.58,507700,19200.0,106500.0,3.8,Delhi,Lifestyle and Fashion,Mega
Mehak Ghai,mehakghaiii,8.14,505900,7100.0,18700.0,1.41,Delhi,Lifestyle and Fashion,Mega
Samidha Singh,samidhasinghh,7.86,505800,4000.0,25500.0,0.79,Mumbai,Lifestyle and Fashion,Mega
Abhishek Kumar,aebyborntoshine,9.06,505500,42900.0,72700.0,8.55,Mumbai,Arts and Entertainment,Mega
Satvik Sankhyan,satviksankhyan,9.02,501400,39200.0,155200.0,8.21,Chandigarh,Lifestyle and Fashion,Mega
Payal Singhal,payalsinghal,6.32,499000,314.0,7800.0,0.06,Mumbai,Lifestyle and Fashion,Mid Tier
POPxoDaily,popxodaily,7.63,496700,1300.0,2600.0,0.27,India,Lifestyle and Fashion,Mid Tier
Raw Mango,raw_mango,6.84,496200,525.0,4900.0,0.11,India,Lifestyle and Fashion,Mid Tier
Mahesh Kumar,iammaheshkumar,8.41,475100,10700.0,104800.0,2.27,Pune,Lifestyle and Fashion,Mid Tier
Shaleena Nathani,shaleenanathani,8.06,475000,6100.0,20600.0,1.3,Mumbai,Lifestyle and Fashion,Mid Tier
SHITIJ VERMA,shitijvermaaa_,8.48,470500,14200.0,102300.0,3.04,New Delhi,Lifestyle and Fashion,Mid Tier
Shweta Pal,shwetaapal,8.42,469500,11100.0,91500.0,2.39,Delhi,Lifestyle and Fashion,Mid Tier
Asmita Arora,asmitarora,7.85,462400,3800.0,27400.0,0.84,Delhi,Lifestyle and Fashion,Mid Tier
Nikimehra,nikimehra,8.36,461500,9500.0,40200.0,2.07,New Delhi,Lifestyle and Fashion,Mid Tier
Shreya Jain,shreyajain26,8.4,457500,10400.0,80100.0,2.28,India,Lifestyle and Fashion,Mid Tier
Vaibhav Keswani,pehenawah,8.34,456200,9400.0,61800.0,2.06,Delhi,Lifestyle and Fashion,Mid Tier
????????????,_prayasss,8.58,454700,18700.0,114500.0,4.19,Punjab,Lifestyle and Fashion,Mid Tier
SOMI KHAN,somikhan_ks,7.73,452600,2500.0,51100.0,0.56,Jaipur,Lifestyle and Fashion,Mid Tier
Riya Pant,riyapant,8.07,448300,6300.0,17500.0,1.42,Mumbai,Lifestyle and Fashion,Mid Tier
Cosmopolitan India,cosmoindia,6.64,447300,440.0,19400.0,0.1,New Delhi,Lifestyle and Fashion,Mid Tier
IDiva,idivaofficial,7.85,446000,3800.0,156200.0,0.86,Gurgaon,Lifestyle and Fashion,Mid Tier
Lofty Spectrums,loftyspectrums,7.81,442200,3300.0,26900.0,0.78,Bengaluru,Lifestyle and Fashion,Mid Tier
Charvi Dutta,charvi_dutta,8.24,440800,8100.0,9800.0,1.87,Mumbai,Lifestyle and Fashion,Mid Tier
Hitesh Mehta ?,hitechy,8.81,432100,22000.0,139400.0,7.11,Mumbai,Lifestyle and Fashion,Mid Tier
MSK,msk_s1991,9.2,430500,56800.0,183700.0,13.23,Mumbai,Travel,Mid Tier
Shalini Samuel,knot_me_pretty,7.68,428200,1900.0,8800.0,0.45,India,Lifestyle and Fashion,Mid Tier
Pooja Ramachandran,pooja_ramachandran,7.79,425900,3200.0,9800.0,0.76,Chennai,Lifestyle and Fashion,Mid Tier
Rohit Bal,rohitbalofficial,6.85,418700,526.0,4700.0,0.13,New Delhi,Lifestyle and Fashion,Mid Tier
The Haelli,the_haelli,6.61,417600,398.0,12800.0,0.1,Gurgaon,Lifestyle and Fashion,Mid Tier
Anushka Sharma,reel_anushka,9.04,413200,42200.0,119000.0,10.27,Delhi,Lifestyle and Fashion,Mid Tier
JESIKA,peachy_vibe,8.15,413100,7200.0,91100.0,1.75,Mumbai,Lifestyle and Fashion,Mid Tier
Conceptual Freelancer Model ????,akash_arora__,8.66,412800,23100.0,96100.0,5.68,Haridwar,Lifestyle and Fashion,Mid Tier
Megha Bhunia,vogue.invein,8.19,412000,7600.0,213200.0,1.86,Kolkata,Lifestyle and Fashion,Mid Tier
Pallavi Ruhail,pallavisinghtdg,8.33,411500,9200.0,60600.0,2.24,New Delhi,Lifestyle and Fashion,Mid Tier
Houseofmisu,houseofmisu,7.69,409000,2100.0,12400.0,0.51,Mumbai,Lifestyle and Fashion,Mid Tier
Caught In A Cuff,caughtinacuff,7.85,406800,3800.0,19200.0,0.94,Mumbai,Lifestyle and Fashion,Mid Tier
Neeta Lulla,neeta_lulla,7.37,405700,849.0,3100.0,0.21,Mumbai,Lifestyle and Fashion,Mid Tier
Praduman Kaushik,pradumankaushikofficial,8.25,404200,8300.0,60600.0,2.06,New Delhi,Lifestyle and Fashion,Mid Tier
Agnijita Banerjee,agnijitabanerjee,7.77,402100,2900.0,23900.0,0.75,Mumbai,Lifestyle and Fashion,Mid Tier
T H E  C U R L  G I R L?,curlgirlofficial,8.29,393600,8700.0,57600.0,2.23,Mumbai,Lifestyle and Fashion,Mid Tier
Pipa + Bella,pipabella,5.56,390300,143.0,2300.0,0.04,Mumbai,Lifestyle and Fashion,Mid Tier
THE INDIAN SPOT,littlediypage,7.62,387700,1300.0,61400.0,0.34,India,Lifestyle and Fashion,Mid Tier
Femina Miss India,missindiaorg,7.67,386400,1800.0,7200.0,0.48,India,Lifestyle and Fashion,Mid Tier
MCaffeine,mcaffeineofficial,7.6,385000,1000.0,14800.0,0.27,Mumbai,Lifestyle and Fashion,Mid Tier
Mia Lakra,mialakraofficial,8.49,381600,14700.0,12500.0,3.86,Delhi,Arts and Entertainment,Mid Tier
SimplyMyStyle!! Unni,simplymystyle_unni,8.57,381400,18700.0,100600.0,4.91,India,Lifestyle and Fashion,Mid Tier
Shubhi Bharal || ThePinkCreed,thattrendstalker,8.5,374200,15200.0,35700.0,4.07,New Delhi,Lifestyle and Fashion,Mid Tier
Mayank Rehani,mayankrehanii,8.49,371000,14500.0,88100.0,3.95,Ghaziabad,Lifestyle and Fashion,Mid Tier
Alexa Carolina C.,sohotsomealex,7.82,368800,3500.0,25100.0,0.97,Assam,Lifestyle and Fashion,Mid Tier
Bhavini Purohit,purohitbhavini,7.77,361300,2900.0,33900.0,0.81,Mumbai,Arts and Entertainment,Mid Tier
Teena Singh,teesuperfly,7.7,360700,2100.0,7100.0,0.6,Ludhiana,Lifestyle and Fashion,Mid Tier
Pranwesha,pranwesha,7.82,357200,3500.0,52400.0,0.99,Bengaluru,Lifestyle and Fashion,Mid Tier
Lisha B,lishabatta,8.38,355400,9800.0,60100.0,2.78,New Delhi,Lifestyle and Fashion,Mid Tier
Sheen Dass,sheendass,7.83,353500,3500.0,16000.0,1.02,Mumbai,Lifestyle and Fashion,Mid Tier
Deeva,dusheni_s,8.21,352700,7800.0,51900.0,2.25,Mumbai,Lifestyle and Fashion,Mid Tier
Lokesh Sharma,lokeshsharmaofficial,7.84,352400,3800.0,30100.0,1.08,Delhi,Lifestyle and Fashion,Mid Tier
Bahaar,bahaar_art,7.68,352400,1900.0,45800.0,0.54,New Delhi,Lifestyle and Fashion,Mid Tier
?? Mr Sajan ?? INFLUENCER,sajansangrur,7.69,352200,2100.0,108700.0,0.6,Sangrur,Lifestyle and Fashion,Mid Tier
Sonakshi Singh,sonakshisinghrawat,8.04,351200,6000.0,29500.0,1.72,Mumbai,Lifestyle and Fashion,Mid Tier
ENSEMBLE,ensembleindia,6.31,351100,314.0,4300.0,0.09,Mumbai,Lifestyle and Fashion,Mid Tier
Jeysha Tripathi,stylenaughty,8.0,350400,5600.0,49800.0,1.6,Delhi,Lifestyle and Fashion,Mid Tier
Adhvithi Shetty,adhvithi_shetty_official,7.79,348700,3100.0,11200.0,0.91,Mangalore,Arts and Entertainment,Mid Tier
Vrushali Vachhiyat,vru_vachhiyat,8.22,347000,8000.0,120400.0,2.31,Surat,Lifestyle and Fashion,Mid Tier
Krisha Jain || Dress A Little,jain_krisha,7.87,343200,4100.0,41700.0,1.21,Mumbai,Lifestyle and Fashion,Mid Tier
Ashish Singh,thevanquishment,7.74,340600,2500.0,17100.0,0.78,Chandigarh,Lifestyle and Fashion,Mid Tier
Pooja Mittal,poojamittal09,8.56,334900,18000.0,136300.0,5.39,Ghaziabad,Lifestyle and Fashion,Mid Tier
Shereen Sikka Bharwani,shereenlovebug,7.09,334000,667.0,8600.0,0.21,Mumbai,Lifestyle and Fashion,Mid Tier
Ankita Srivastava,corallistablog,7.65,332200,1600.0,14500.0,0.49,Mumbai,Lifestyle and Fashion,Mid Tier
Okhai.Org,okhai_org,5.81,330600,172.0,2400.0,0.05,Mumbai,Lifestyle and Fashion,Mid Tier
Mehak Anand,mehakanandd,7.87,329600,4000.0,3900.0,1.23,Mumbai,Lifestyle and Fashion,Mid Tier
Anushka Mitra,anushkamitra,8.62,329400,21000.0,39600.0,6.41,Mumbai,Lifestyle and Fashion,Mid Tier
Sejal Jain,glamprotocol,7.8,326300,3200.0,64200.0,1.0,Mumbai,Lifestyle and Fashion,Mid Tier
Shakya RS,rohitsakyars,8.42,323600,11000.0,4600.0,3.43,Delhi,Travel,Mid Tier
Pujita Ponnada,pujita.ponnada,8.44,322400,11900.0,19400.0,3.75,Hyderabad,Lifestyle and Fashion,Mid Tier
POOJA RAINA  (JINJIN),truefashionholic,7.89,320500,4300.0,87300.0,1.36,Delhi,Lifestyle and Fashion,Mid Tier
Flavia Cristina,flaviachristina.estilo,7.64,319000,1500.0,7000.0,0.47,Assam,Lifestyle and Fashion,Mid Tier
Avantika Mohan,avantii2,8.4,318300,10400.0,54200.0,3.28,India,Lifestyle and Fashion,Mid Tier
Saan And Abhi,thatordinarycouple,6.66,316200,433.0,62500.0,0.14,Ooty,Lifestyle and Fashion,Mid Tier
Curious Components,curious_components,6.36,314600,325.0,12900.0,0.11,India,Lifestyle and Fashion,Mid Tier
Clovia,clovia_fashions,6.84,313700,514.0,21100.0,0.17,India,Lifestyle and Fashion,Mid Tier
AartiBedi,aartibedii,8.55,313500,17400.0,4900.0,5.59,Mumbai,Lifestyle and Fashion,Mid Tier
What When Wear,aanamc,7.56,312700,1000.0,10700.0,0.31,Mumbai,Lifestyle and Fashion,Mid Tier
Sonia,sheervanitysonia,7.74,310600,2600.0,37400.0,0.84,Bengaluru,Lifestyle and Fashion,Mid Tier
Aanchal Goel,mymultifaceteddiary,8.01,310300,5600.0,116800.0,1.83,Delhi,Lifestyle and Fashion,Mid Tier
Debasree Banerjee,debasreee,7.63,305600,1400.0,8000.0,0.46,Mumbai,Lifestyle and Fashion,Mid Tier
VYOMESH KOUL,vyomesh_koul,8.57,304900,18600.0,125000.0,6.12,Delhi,Lifestyle and Fashion,Mid Tier
Priyanshu Chopra,priyanshu_chopra,8.43,304700,11700.0,15500.0,3.87,New Delhi,Lifestyle and Fashion,Mid Tier
Neha Chatlani,nehachatlani,8.15,303200,7200.0,71900.0,2.39,Bengaluru,Lifestyle and Fashion,Mid Tier
Bhumika Thakkar,bhumika_t,7.64,302700,1400.0,12000.0,0.5,Mumbai,Lifestyle and Fashion,Mid Tier
