Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Karishma Yadav,pinktrunkk,7.76,184800,2900,7900,1.55,Delhi,Lifestyle and Fashion,Mid Tier
Karan Singhal,thefoodattacker,7.63,184100,1300,27000,0.75,New Delhi,Food and Drink,Mid Tier
Pratik Talreja,sadak_chap,7.77,183900,2900,5300,1.62,Mumbai,Photography,Mid Tier
Abhinav Chandel,abhiandnow,4.92,183300,0,12600,0.05,Himachal Pradesh,Lifestyle and Fashion,Mid Tier
KyatGirl,kyatgirl,4.29,183000,0,124300,0.03,Bengaluru,Lifestyle and Fashion,Mid Tier
Pastels And Pop,pastelsandpop,6.22,183000,269,6100,0.16,Bengaluru,Technology,Mid Tier
Murthuja,telugutechworld,6.01,182800,205,1200,0.11,India,Technology,Mid Tier
Smartprix.com,smartprix,7.62,182800,1200,2900,0.68,Noida,Technology,Mid Tier
Satya Saggar,satyasaggar,8.4,181300,10200,27900,5.65,Mumbai,Lifestyle and Fashion,Mid Tier
Infinix India,infinixindia,6.51,180600,383,14300,0.22,India,Technology,Mid Tier
Subham Ghosh,thefoodie_explorer,7.69,179800,2100,35000,1.16,Kolkata,Food and Drink,Mid Tier
Sixpackabsindia.com,sixpackabsindia,6.13,179400,233,804,0.14,Mumbai,Health and Fitness,Mid Tier
The Indian Food Blogger,theindianfoodblogger,7.65,179000,1700,26000,0.93,Bengaluru,Food and Drink,Mid Tier
Munchy Mumbai,munchymumbai,2.32,178700,0,7300,0.00,Mumbai,Food and Drink,Mid Tier
Tech Satire,techsatire,7.9,178100,4400,18300,2.52,India,Technology,Mid Tier
Travel,Travel,7.6,177400,1100,27100,0.60,Kerala,Food and Drink,Mid Tier
Hazzel Choudhry,hazzelchoudhry,7.62,177300,1300,29800,0.74,India,Health and Fitness,Mid Tier
Soumeshpandey,camerawalebhaiya,8.55,177300,17600,29600,10.07,Delhi,Arts and Entertainment,Mid Tier
ISHIKA?? || NISHIKA??,life_of_a_foodholic,7.47,177200,898,20000,0.52,Bengaluru,Food and Drink,Mid Tier
Travel,Travel,4.72,177100,0,44200,0.04,Bengaluru,Family and Parenting,Mid Tier
Hanshul Anand,bhukkad_dilli_ke,7.62,176500,1200,46700,0.72,New Delhi,Food and Drink,Mid Tier
Cricket News & Updates ??,cricketexplorer,2.0,176400,0,0,0.00,India,Sports,Mid Tier
DedyDuit,dedyduit,6.07,175800,203,1500,0.13,Rajasthan,Lifestyle and Fashion,Mid Tier
Kerala Food Diaries,kerala.food.diaries,7.81,175600,3400,64400,1.95,Kochi,Food and Drink,Mid Tier
Piyush And Yamini,piyushyaminiofficial,7.95,175600,5000,453200,2.84,Delhi,Arts and Entertainment,Mid Tier
Cooktube,cooktubeindia,6.12,175500,246,3200,0.14,New Delhi,Food and Drink,Mid Tier
Prasad Techin,prasadyoutuber,8.81,175500,30800,79500,17.63,India,Technology,Mid Tier
Chef Guntas,chefguntas,7.64,174900,1500,4500,0.87,India,Food and Drink,Mid Tier
Photography,supreet_sahoo_,7.67,174500,1800,15500,1.03,India,Photography,Mid Tier
Mittapalli Gopijithendra,jithendrajithu01,6.81,174000,507,20200,0.29,Hyderabad,Technology,Mid Tier
Nabeel Nawab Tech,nawabnabeel,8.15,173800,7200,32900,4.18,Mumbai,Technology,Mid Tier
Zaid Khan,Fitness,7.6,173800,1100,6900,0.61,Mumbai,Health and Fitness,Mid Tier
Education,Education,7.72,173700,2300,4300,1.36,New Delhi,Education,Mid Tier
Mayank Markande,mayank.0011,8.69,173600,24700,40800,14.31,India,Sports,Mid Tier
Peter England,peterengland,6.18,172800,268,3100,0.16,India,Travel,Mid Tier
Rahul Agrawal,alcohowl,7.66,172800,1700,6300,1.00,Mumbai,Food and Drink,Mid Tier
Kanak's Kitchen,kanakskitchen,7.08,172300,657,4000,0.39,India,Food and Drink,Mid Tier
Delhi Food Walks,delhifoodwalks,6.47,172200,372,4100,0.22,India,Food and Drink,Mid Tier
Yourstory,yourstory_com,5.28,171300,109,704,0.06,India,Business,Mid Tier
Gagan Choudhary,ganikgagan,8.22,170300,8000,18500,4.74,Delhi,Automotive,Mid Tier
Ritesh Agarwal,riteshagar,8.16,170200,7300,40200,4.32,New Delhi,Business,Mid Tier
Tamil Thalaivas,tamilthalaivas,8.04,169900,6000,20600,3.53,Chennai,Sports,Mid Tier
Balram Menon,balme24,7.81,169100,3300,75600,2.02,Kochi,Food and Drink,Mid Tier
Anchit Jain,Travel,7.65,168800,1500,13300,0.93,New Delhi,Food and Drink,Mid Tier
Feminism In India,feminisminindia,7.2,168700,748,2000,0.45,India,Technology,Mid Tier
Conveyofficial,conveyofficial,2.0,168000,1200,13700,0.73,Mumbai,Investment and Finance,Mid Tier
Reetika Anand!!,tempting_tales,6.66,167800,425,15400,0.27,India,Food and Drink,Mid Tier
Ridhima Bhasin,ridhimabhasinofficial,4.34,167700,48,644,0.03,India,Technology,Mid Tier
Akanksha Redhu,akanksharedhu,3.2,167300,0,19500,0.01,New Delhi,Lifestyle and Fashion,Mid Tier
Hero I-League,ileagueofficial,6.85,167200,534,2700,0.32,New Delhi,Sports,Mid Tier
Sruthi Ravi Rio,sruthi.rav,8.91,166400,35800,94000,21.55,Chennai,Arts and Entertainment,Mid Tier
P-Indicator For Punekar,puneriguide,7.81,166200,3500,7800,2.08,Pune,Technology,Mid Tier
Shramona Poddar,mishti.and.meat,7.9,165800,4300,8900,2.65,Kolkata,Travel,Mid Tier
Kidambi Srikanth,srikanth_kidambi,8.18,165300,7600,5300,4.61,India,Sports,Mid Tier
