Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Sulata,mommyandvihaan,6.36,111.8k,304,7.5k,0.30%,Bengaluru,Family and Parenting
Mysuru Foodie,mysurufoodie,7.96,111.7k,5.1k,128.7k,4.54%,Mysore,Food and Drink
Koyal Rana,koyalrana,7.68,111.7k,2k,0,1.78%,India,Travel
Luckii | Blogger,luckii_mee,4.44,111.5k,0,0,0.05%,Delhi,Travel
Nidhi Mohan Kamal,nidhimohankamal,7.65,111.4k,1.6k,6k,1.47%,New Delhi,Lifestyle and Fashion
Nitin Hajela,hajela,6.53,111.4k,380,279,0.36%,Bengaluru,Food and Drink
Thelandoutthere,thelandofwanderlust,6.06,111.4k,225,6k,0.20%,Mumbai,Travel
Foodelhi,foodelhi,4.46,111.3k,53,6.4k,0.05%,Delhi,Food and Drink
Pragya Pathak,pragyapathakk,7.69,111k,2.1k,19.1k,1.90%,New Delhi,Lifestyle and Fashion
Vidit Gujrathi,viditchess,8.48,110.8k,14k,28.7k,12.75%,Nashik,Sports
Dillifoodjunkie,dillifoodjunkie,6.41,110.7k,351,4.8k,0.32%,India,Food and Drink
Nmami Life,nmamilife,6.27,110.7k,302,2.4k,0.27%,India,Food and Drink
Warangal Diaries,warangaldiaries,7.73,110.6k,2.5k,14k,2.31%,India,Arts and Entertainment
Manpreet Singh,manpreetsingh07,3.62,110.4k,0,9.7k,0.02%,Mithapur,Sports
Wassup Mumbai,wassup.mumbai,7.64,110.4k,1.5k,9.1k,1.40%,India,Food and Drink
Ayesha Billimoria,fitgirl.india,6.81,110.3k,502,3.6k,0.46%,Mumbai,Sports
UPCA,upcacricket,7.92,110.1k,4.7k,15.2k,4.25%,Kanpur,Sports
Vidhi Doshi,ramenhairedgirl,7.61,110k,1.2k,26.1k,1.07%,Mumbai,Food and Drink
Himanshu Biswas,himanshu.instaworld,6.02,109.8k,210,0,0.19%,India,Investment and Finance
Khushboo,thesmokeyeyesgirl,7.86,109.7k,3.8k,11.5k,3.60%,Delhi,Lifestyle and Fashion
Travel,Travel,7.87,109.7k,4k,2.7k,3.71%,New Delhi,Travel
Karishma Sakhrani,karishma_sakhrani,2.56,109.6k,0,13.1k,0.01%,Mumbai,Food and Drink
Ashbin George,food__destinations_,7.7,109.4k,2.1k,52.5k,1.95%,Kerala,Food and Drink
KL Rahul,rahulkl,7.77,109.4k,3k,692.1k,2.74%,Bengaluru,Sports
COMO Hotels,comohotels,6.17,109.4k,260,2.5k,0.24%,Assam,Travel
ILFA |FOOD BLOGGER,spices_of_ilfa,7.03,109.4k,636,46k,0.59%,Kerala,Food and Drink
The Frustrated Engineer,thefrustratedengineer_,7.69,109.3k,2.1k,21.6k,1.92%,Rajasthan,Technology
FossBytes,fossbytes,7.65,109.3k,1.7k,12.4k,1.52%,New Delhi,Technology
