Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Kanika Mann,officialkanikamann,9.22,7.1m,133.2k,270k,1.89%,India,Arts & Entertainment
Bhumi Pednekar,bhumipednekar,9.2,7.1m,54.8k,88.4k,0.78%,Mumbai,Arts & EntertainmentMovies
Karishma Tanna,karishmaktanna,9.2,7.1m,70.3k,98.1k,1.00%,India,Arts & EntertainmentMovies
Raveena Tandon,officialraveenatandon,9.06,7m,42.7k,82.1k,0.61%,Mumbai,Arts & EntertainmentMovies
Shivangi Joshi,shivangijoshi18,9.32,7m,526.4k,860.6k,7.71%,India,Arts & EntertainmentTelevision
Sakshi Malik,sakshimalikk,9.23,6.9m,184.8k,277.4k,2.68%,India,Arts & EntertainmentMovies
Tovino Thomas,tovinothomas,9.24,6.8m,232.9k,559k,3.43%,India,Arts & EntertainmentMovies
Rajkummar  Rao,rajkummar_rao,9.21,6.8m,119k,161.5k,1.77%,India,Arts & EntertainmentMovies
Vidyut Jammwal,mevidyutjammwal,9.24,6.7m,215.3k,216.7k,3.21%,India,Arts & EntertainmentMovies
A.R.Rahman,arrahman,9.21,6.7m,125.2k,306.9k,1.86%,Chennai,Arts & EntertainmentMovies
Twinkle Khanna,twinklerkhanna,9.03,6.7m,41.4k,219.1k,0.62%,India,Arts & EntertainmentMovies
Sunanda Sharma,sunanda_ss,9.2,6.7m,56.2k,204.4k,0.85%,India,Arts & EntertainmentMovies
Riva Arora,rivarora_,9.22,6.6m,129.2k,175.6k,1.97%,India,Arts & EntertainmentMovies
Bharti Singh,bharti.laughterqueen,9.23,6.6m,200.8k,1m,3.05%,Mumbai,Arts & EntertainmentHumor / Comedy
Krutika,themermaidscales,9.28,6.6m,397.1k,3.5m,6.04%,India,Arts & Entertainment
Adah Sharma,adah_ki_adah,9.22,6.5m,139.4k,74.7k,2.15%,India,Arts & EntertainmentMovies
Divya Khosla Kumar,divyakhoslakumar,9.23,6.5m,171.4k,183.3k,2.65%,Mumbai,Arts & EntertainmentMovies
Filmfare,filmfare,7.95,6.5m,4.9k,70.2k,0.08%,India,Arts & EntertainmentMovies
Nupur Sanon,nupursanon,9.23,6.4m,200.8k,251.8k,3.14%,India,Arts & EntertainmentMovies
Sushmita Sen,sushmitasen47,9.21,6.4m,90.5k,395.8k,1.43%,India,Arts & EntertainmentMovies
Lucky Dancer,luckydancer786,2,6.3m,164.5k,0.9m,2.83%,Mumbai,Arts & EntertainmentDance
Sanjay Dutt,duttsanjay,9.26,6.2m,293.7k,329.6k,4.78%,India,Arts & EntertainmentMovies
MANKIRT AULAKH,mankirtaulakh,9.23,6.1m,183.2k,435.7k,3.03%,India,Arts & EntertainmentLiterature
Nivetha Thomas,i_nivethathomas,9.28,6.1m,398k,716.6k,6.55%,India,Arts & EntertainmentMovies
Robin Jindal,oye_indori,9.22,6m,154.7k,1.2m,2.58%,India,Arts & Entertainment
Tejasswi Prakash,tejasswiprakash,9.32,6m,512.3k,1.4m,8.88%,India,Arts & EntertainmentTelevision
Aditi Bhatia,aditi_bhatia4,9.24,5.9m,229.5k,287k,3.89%,India,MoviesArts & Entertainment
Anirudh Ravichander,anirudhofficial,9.28,5.9m,392.4k,667.5k,6.67%,India,Arts & EntertainmentMovies
Neha Dhupia,nehadhupia,8.47,5.9m,13.6k,32.1k,0.23%,Mumbai,Arts & EntertainmentMovies
Anveshi Jain,anveshi25,9.21,5.8m,119.9k,214.6k,2.08%,India,Arts & EntertainmentTelevision
Jumana Khan,jumana_khan_,9.2,5.8m,50.5k,56.5k,0.88%,Kerala,Arts & Entertainment
Asim Riaz,asimriaz77.official,9.24,5.8m,216.2k,1m,3.81%,India,Arts & EntertainmentTelevision
Aashika Bhatia,_aashikabhatia_,8.94,5.8m,36.8k,1m,0.64%,India,Arts & EntertainmentMovies
Arijit Singh World,arijitsingh,9.23,5.7m,191.4k,774.6k,3.37%,India,Arts & EntertainmentMusic
Vaani Kapoor,_vaanikapoor_,9.21,5.7m,102k,94.6k,1.80%,India,Arts & EntertainmentMovies
Rashami Desai,imrashamidesai,9.21,5.6m,101.8k,271.7k,1.92%,India,Arts & EntertainmentTelevision
Harsh Beniwal,harshbeniwal,9.33,5.5m,593.1k,1.1m,10.78%,India,Arts & Entertainment
Huma Qureshi,iamhumaq,9.04,5.4m,41.8k,115.2k,0.78%,India,Arts & EntertainmentMovies
Tulsi Kumar,tulsikumar15,9.21,5.4m,108.8k,245.9k,2.02%,Mumbai,Arts & EntertainmentMovies
Hansika Motwani,ihansika,9.22,5.4m,151.4k,168.5k,2.82%,India,Arts & EntertainmentMovies
Shraddha Arya,sarya12,9.25,5.4m,264.3k,1m,4.96%,India,Arts & EntertainmentMovies
SAMEER MARK 69,sameer_mark,8.66,5.4m,22.9k,277.7k,0.44%,Mumbai,Style & FashionArts & Entertainment
Pranitha Subhash,pranitha.insta,9.23,5.4m,172.4k,178k,3.23%,India,Arts & EntertainmentMovies
Vijay Sethupathi,actorvijaysethupathi,9.24,5.3m,215.1k,712k,4.05%,India,Arts & EntertainmentMovies
Anupam Kher,anupampkher,8.51,5.3m,15.5k,209.1k,0.30%,India,Arts & EntertainmentMovies
RAAI LAXMI,iamraailaxmi,9.2,5.3m,66.1k,34.2k,1.26%,India,Arts & EntertainmentMovies
Surbhi Chandna,officialsurbhic,9.21,5.2m,126.5k,447.4k,2.45%,India,Arts & EntertainmentMovies
Voompla,voompla,8.3,5.2m,8.9k,31.5k,0.17%,India,Arts & EntertainmentMovies
Hiphop Tamizha,hiphoptamizha,6.38,5.2m,0,371.1k,0.01%,India,MusicMovies
Pinkvilla,pinkvilla,8.59,5.1m,19.8k,36.1k,0.39%,India,Arts & Entertainment
Elli AvrRam,elliavrram,9.21,5.1m,104.9k,123.5k,2.05%,India,Arts & EntertainmentMovies
Dhanashree Verma,dhanashree9,9.29,5.1m,408.5k,371k,7.96%,Mumbai,DanceArts & Entertainment
Nani,nameisnani,9.3,5.1m,479.1k,0.9m,9.35%,India,Arts & EntertainmentMovies
Mona Lisa,aslimonalisa,9.2,5.1m,51.5k,82.5k,1.01%,India,Arts & EntertainmentTelevision
Millind Gaba,millindgaba,9.22,5.1m,140.3k,180.4k,2.77%,India,Arts & EntertainmentMusic
Dia Mirza,diamirzaofficial,8.79,5.1m,29.6k,38.3k,0.59%,Mumbai,Arts & EntertainmentMovies
Sunil Grover,whosunilgrover,9.21,5.1m,89.3k,655.4k,1.78%,India,Arts & EntertainmentTelevision
SivaKarthikeyan,sivakarthikeyan,9.36,5m,704k,1m,14.14%,Chennai,Arts & EntertainmentMovies
Sana Khaan,sanakhaan21,9.29,5m,405.3k,879k,8.17%,India,Arts & EntertainmentMovies
Bhavin Bhanushali,bhavin_333,7.62,4.9m,0,211.4k,0.03%,India,Arts & Entertainment
Amulya,amulyarattan_,9.24,4.9m,241.2k,523.5k,4.98%,India,Arts & Entertainment
Shaheer Sheikh,shaheernsheikh,9.21,4.8m,120.8k,367.7k,2.52%,India,Arts & EntertainmentTelevision
Reem,reem_sameer8,9.2,4.8m,83.3k,191.6k,1.75%,India,Arts & EntertainmentTelevision
Anil Kapoor,anilskapoor,9.05,4.8m,42.5k,85.4k,0.89%,India,Arts & EntertainmentMovies
Prince Narula,princenarula,9.21,4.8m,105.2k,249.1k,2.20%,India,Arts & EntertainmentTelevision
Darmesh,dharmesh0011,9.2,4.8m,76.7k,352.6k,1.61%,India,Arts & EntertainmentTelevision
Nawazuddin Siddiqui,nawazuddin._siddiqui,9.24,4.8m,223.9k,482.6k,4.69%,India,Arts & EntertainmentMovies
Suriya Sivakumar,actorsuriya,9.36,4.8m,685.5k,1.7m,14.48%,Chennai,Arts & Entertainment
Rana Daggubati,ranadaggubati,9.17,4.8m,48.9k,133.9k,1.02%,India,Arts & EntertainmentMovies
Prithviraj Sukumaran,therealprithvi,9.22,4.8m,159.7k,192.9k,3.36%,India,Arts & EntertainmentMovies
Aly Goni,alygoni,9.25,4.8m,255.3k,380.2k,5.43%,India,TelevisionArts & Entertainment
Rits Badiani (Ritika),rits_badiani,9.21,4.7m,120.7k,284.4k,2.60%,India,Arts & EntertainmentStyle & Fashion
Paras Chhabra,parasvchhabrra,9.25,4.7m,257.6k,850.2k,5.55%,India,Arts & Entertainment
Mohanlal,mohanlal,9.24,4.7m,219.8k,676.7k,4.68%,India,Arts & EntertainmentMovies
Ranjit Bawa,ranjitbawa,9.1,4.7m,45k,130.1k,0.96%,India,Arts & EntertainmentMusic
Tia Bajpai,tiabajpai,9.03,4.7m,41.8k,0,0.89%,India,Arts & EntertainmentTelevision
Vidya Balan,balanvidya,8.88,4.7m,34k,71.8k,0.73%,India,Arts & EntertainmentMovies
Akshara Singh,singhakshara,9.2,4.7m,54.1k,211.3k,1.17%,India,Arts & EntertainmentMovies
Deepika Singh Goyal,deepikasingh150,9.2,4.6m,60.6k,0.9m,1.31%,India,Arts & EntertainmentTelevision
Mrunal Thakur,mrunalthakur,9.22,4.6m,147.6k,272.9k,3.19%,India,Arts & EntertainmentMovies
Mahira Sharma,officialmahirasharma,9.26,4.6m,307.1k,1.4m,6.89%,India,Arts & Entertainment
Nushrat Bharucha,nushrrattbharuccha,9.2,4.6m,84.6k,190.2k,1.85%,India,Arts & EntertainmentMovies
Gippy Grewal,gippygrewal,9.22,4.6m,135.7k,328.9k,2.99%,India,Arts & EntertainmentMusic
Sanjeeda Shaikh,iamsanjeeda,6.4,4.5m,0,681.8k,0.01%,India,Arts & EntertainmentTelevision
Rannvijay Singha,rannvijaysingha,9.09,4.5m,44.6k,43.4k,0.99%,India,Arts & EntertainmentTelevision
Zakir Khan,zakirkhan_208,9.26,4.5m,289.8k,450.3k,6.46%,India,Arts & EntertainmentHumor / Comedy
Jr NTR,jrntr,9.31,4.5m,480.4k,1.5m,10.75%,India,Arts & EntertainmentMovies
Amala Paul,amalapaul,9.22,4.5m,136.9k,118.6k,3.07%,India,Arts & EntertainmentMovies
Ekta Kapoor,ektarkapoor,8.71,4.4m,25.5k,168.3k,0.58%,Mumbai,Arts & Entertainment
Rashmi Gautam,rashmigautam,9.23,4.4m,179.5k,338.8k,4.08%,Hyderabad,Arts & EntertainmentMovies
Karan Kundrra,kkundrra,9.28,4.4m,346.2k,1m,8.58%,Mumbai,Arts & EntertainmentMovies
Sidharth Shukla,realsidharthshukla,9.31,4.4m,446k,682.9k,11.36%,India,Arts & EntertainmentTelevision
Ameesha Patel,ameeshapatel9,8.47,4.4m,13.4k,42.8k,0.31%,India,Arts & EntertainmentMovies
Dhanush,dhanushkraja,9.47,4.3m,1.1m,1.2m,25.73%,India,Arts & EntertainmentMovies
SONAL CHAUHAN,sonalchauhan,6.68,4.3m,0,114.1k,0.01%,India,Arts & EntertainmentMovies
Dheeraj Dhoopar,dheerajdhoopar,9.22,4.3m,165.6k,346k,3.90%,India,Arts & EntertainmentMovies
Gauri Khan,gaurikhan,9.2,4.3m,70.6k,370.2k,1.67%,India,Arts & EntertainmentMovies
Diana Penty,dianapenty,9.21,4.2m,104.3k,92.6k,2.47%,Mumbai,Arts & EntertainmentMovies
Ajaz Khan,imajazkhan,8.52,4.2m,16.2k,104.5k,0.39%,India,Arts & EntertainmentMovies
SANGRAM U SINGH,sangramsingh_wrestler,9.21,4.2m,101.6k,322.9k,2.41%,India,Arts & EntertainmentMovies
Alya Manasa,alya_manasa,9,4.2m,40k,421.8k,0.95%,Chennai,Arts & EntertainmentTelevision
Samiksha Bhatnagar,samikshabhatna1,9.21,4.2m,90.7k,328.3k,2.22%,India,Arts & EntertainmentMovies
Erica J Fernandes,iam_ejf,9.21,4.1m,118.8k,207.9k,2.88%,India,Arts & EntertainmentMovies
Mohsin Khan,khan_mohsinkhan,9.23,4.1m,178.5k,477.7k,4.44%,India,Arts & EntertainmentTelevision
EmiwayOfficial,emiway_bantai,9.23,4.1m,172.1k,457.1k,4.30%,India,Arts & EntertainmentMusic
Pankaj Tripathi,pankajtripathi,9.26,4.1m,325.1k,325.7k,8.02%,India,Arts & EntertainmentMovies
Daisy Shah,shahdaisy,8.78,4.1m,28.9k,54.2k,0.72%,India,Arts & EntertainmentMovies
Prachi Desai,prachidesai,9.22,4m,160.1k,180.1k,4.00%,India,TelevisionArts & Entertainment
Parth Samthaan,the_parthsamthaan,9.22,4m,153.9k,337.7k,3.88%,India,Arts & EntertainmentTelevision
Paayal Rajput,rajputpaayal,9.2,4m,63.4k,82.6k,1.60%,India,Arts & EntertainmentMovies
KaurB,kaurbmusic,9.17,4m,48.2k,102.7k,1.23%,India,Arts & EntertainmentMusic
Shamita Shetty,shamitashetty_official,9.2,3.9m,50.1k,317.7k,1.39%,India,Home DecorArts & Entertainment
